Call Number,Call # Formatted,Title,Title,Library,Author,Barcode,COPY,N/A,LOCATION,Loan,Edition,Year,Last Check-Out,Check-  Outs,Decision,Call Number 2,Field18,Title,Library 2,Barcode 2,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Date Created,Last Check-Out,Check-Outs
PN56.R3 A83,PN56.R3A83,Mimesis; the representation of reality in Western literature. Translated from the German by Willard R. Trask,Mimesis; the representation of reality in Wes…,DOHENY,"Auerbach, Erich, 1892-1957",31275004101128,1,618772,BOOKSTACKS,4WK/SEMSTR,-,1953,9/23/2010,82,,PN56.R3 A83,PN56.R3A83,Mimesis; the representation of reality in Western literature. Translated from the German by Willard R. Trask,LEAVEY,31275000878430,,1,618772,BOOKSTACKS,4WK/SEMSTR,-,1953,9/25/1996,10/19/2012,104
BF431 .G68 1981,BF431.G681981,The mismeasure of man / by Stephen Jay Gould,The mismeasure of man / by Stephen Jay Gould…,GRANDDEPOS,"Gould, Stephen Jay",31275004666880,1,47537,BOOKSTACKS,4WK/SEMSTR,1st ed.,1981,1/7/2012,24,,BF431 .G68 1981,BF431.G681981,The mismeasure of man / by Stephen Jay Gould,LEAVEY,31275002128628,,1,47537,BOOKSTACKS,4WK/SEMSTR,1st ed.,1981,9/23/1996,9/16/2013,102
HB139 .A5 1985,HB139.A51985,Advanced econometrics / Takeshi Amemiya,Advanced econometrics / Takeshi Amemiya…,DOHENY,"Amemiya, Takeshi",31275036844620,1,614148,BOOKSTACKS,4WK/SEMSTR,-,1985,9/20/2013,127,,HB139 .A5 1985,HB139.A51985,Advanced econometrics / Takeshi Amemiya,LEAVEY,31275018559949,,1,614148,BOOKSTACKS,4WK/SEMSTR,-,1985,9/25/1996,6/2/2013,102
GN316 .G43 1983,GN316.G431983,Local knowledge : further essays in interpretive anthropology / by Clifford Geertz,Local knowledge : further essays in interpret…,DOHENY,"Geertz, Clifford",31275004525615,1,611036,BOOKSTACKS,4WK/SEMSTR,-,1983,10/7/2013,43,,GN316 .G43 1983,GN316.G431983,Local knowledge : further essays in interpretive anthropology / by Clifford Geertz,LEAVEY,31275017477317,,1,611036,BOOKSTACKS,4WK/SEMSTR,-,1983,9/25/1996,8/19/2012,102
N7430.5 .W39,N7430.5.W39,Ways of seeing; a book made by John Berger [and others],Ways of seeing; a book made by John Berger [a…,AFA,"Berger, John",31275022799283,2,613187,BOOKSTACKS,4WK/SEMSTR,-,1972,9/2/2014,89,,N7430.5 .W39,N7430.5.W39,Ways of seeing; a book made by John Berger [and others],LEAVEY,31275006754031,,1,613187,BOOKSTACKS,4WK/SEMSTR,-,1972,9/25/1996,2/12/2015,102
BF431 .G68 1981,BF431.G681981,The mismeasure of man / by Stephen Jay Gould,The mismeasure of man / by Stephen Jay Gould…,DOHENY,"Gould, Stephen Jay",31275001790329,3,47537,BOOKSTACKS,4WK/SEMSTR,1st ed.,1981,10/30/2014,48,,BF431 .G68 1981,BF431.G681981,The mismeasure of man / by Stephen Jay Gould,LEAVEY,31275002128628,,3,47537,BOOKSTACKS,4WK/SEMSTR,1st ed.,1981,9/23/1996,9/16/2013,102
HB139 .H75 1986,HB139.H751986,Analysis of panel data / Cheng Hsiao,Analysis of panel data / Cheng Hsiao…,DOHENY,"Hsiao, Cheng",31275020960549,1,610065,BOOKSTACKS,4WK/SEMSTR,-,1986,1/17/2013,95,,HB139 .H75 1986,HB139.H751986,Analysis of panel data / Cheng Hsiao,LEAVEY,31275018392473,,1,610065,BOOKSTACKS,4WK/SEMSTR,-,1986,9/25/1996,1/9/2012,101
AG105 .K64 1992,AG105.K641992,From archetype to zeitgeist : powerful ideas for powerful thinking / by Herbert Kohl ; with the assistance of Erica Kohl and Dee Garner ... [et al.],From archetype to zeitgeist : powerful ideas …,DOHENY,"Kohl, Herbert",31275024684749,1,667527,BOOKSTACKS,4WK/SEMSTR,1st ed.,1992,9/1/2009,57,,AG105 .K64 1992,AG105.K641992,From archetype to zeitgeist : powerful ideas for powerful thinking / by Herbert Kohl ; with the assistance of Erica Kohl and Dee Garner ... [et al.],LEAVEY,31275024280969,,1,648774,BOOKSTACKS,4WK/SEMSTR,-,1981,9/25/1996,5/17/2013,99
R853.H8 W54 1992,R853.H8W541992,When medicine went mad : bioethics and the Holocaust / edited by Arthur L. Caplan,When medicine went mad : bioethics and the Ho…,PHILOSOPHY,"Caplan, Arthur L",31275024806102,1,671341,BOOKSTACKS,4WK/SEMSTR,-,1992,3/30/2012,102,,R853.H8 W54 1992,R853.H8W541992,When medicine went mad : bioethics and the Holocaust / edited by Arthur L. Caplan,LEAVEY,31275024805625,,1,671341,BOOKSTACKS,4WK/SEMSTR,-,1992,9/25/1996,12/4/2012,99
PN3331 .B2513,PN3331.B2513,The dialogic imagination : four essays / by M. M. Bakhtin ; edited by Michael Holquist ; translated by Caryl Emerson and Michael Holquist,The dialogic imagination : four essays / by M…,GRANDDEPOS,"Bakhtin, M. M. (Mikhail Mikhaĭlovich), 1895-1975",31275042452715,1,614090,BOOKSTACKS,4WK/SEMSTR,-,1981,4/19/2012,3,,PN3331 .B2513,PN3331.B2513,The dialogic imagination : four essays / by M. M. Bakhtin ; edited by Michael Holquist ; translated by Caryl Emerson and Michael Holquist,LEAVEY,31275006006309,,1,614090,BOOKSTACKS,4WK/SEMSTR,-,1981,9/25/1996,11/20/2012,99
