Call Number,Call # Formatted,Title,Title,Library,Author,Barcode,COPY,N/A,LOCATION,Loan,Edition,Year,Last Check-Out,Check-  Outs,Decision,Call Number 2,Field18,Title,Library 2,Barcode 2,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Date Created,Last Check-Out,Check-Outs
GV811.5 .R68 1989,GV811.5.R681989,The Annapolis book of seamanship / by John Rousmaniere ; illustrated and designed by Mark Smith,The Annapolis book of seamanship / by John Ro…,SCIENCE,"Rousmaniere, John",31275038273331,1,1345759,BOOKSTACKS,4WK/SEMSTR,[2nd rev. ed.],1989,9/27/2012,31,,GV811.5 .R68 1989,GV811.5.R681989,The Annapolis book of seamanship / by John Rousmaniere ; illustrated and designed by Mark Smith,LEAVEY,31275045032472,,1,1345759,BOOKSTACKS,4WK/SEMSTR,[2nd rev. ed.],1989,11/5/2007,8/25/2014,48
PA4414.A1 G7 1969 V.1,PA4414.A1G71969V.1,Sophocles / with an introd. by David Grene,Sophocles / with an introd. by David Grene…,GRANDDEPOS,Sophocles,31275018920976,2,654083,BOOKSTACKS,4WK/SEMSTR,1st Phoenix ed.,1969,5/18/2013,57,,PA4414.A1 G7 1969 V.1,PA4414.A1G71969V.1,Sophocles / with an introd. by David Grene,LEAVEY,31275018920950,,2,654083,BOOKSTACKS,4WK/SEMSTR,1st Phoenix ed.,1969,9/25/1996,10/28/2014,48
PA4417 .W5,PA4417.W5,Sophocles; a study of heroic humanism,Sophocles; a study of heroic humanism…,DOHENY,"Whitman, Cedric Hubbell",31275000917568,1,622184,BOOKSTACKS,4WK/SEMSTR,-,1951,6/19/2013,33,,PA4417 .W5,PA4417.W5,Sophocles; a study of heroic humanism,LEAVEY,31275000826595,,1,622184,BOOKSTACKS,4WK/SEMSTR,-,1951,9/25/1996,9/11/2011,48
GN27 .W66 1995,GN27.W661995,Women writing culture / edited by Ruth Behar and Deborah A. Gordon,Women writing culture / edited by Ruth Behar …,DOHENY,"Behar, Ruth, 1956-",31275039708673,1,676808,BOOKSTACKS,4WK/SEMSTR,-,1995,8/29/2013,39,,GN27 .W66 1995,GN27.W661995,Women writing culture / edited by Ruth Behar and Deborah A. Gordon,LEAVEY,31275027389809,,1,676808,BOOKSTACKS,4WK/SEMSTR,-,1995,12/16/1996,1/26/2013,48
B132.Y6 E523 1969,B132.Y6E5231969,Yoga: immortality and freedom. Translated from the French by Willard R. Trask,Yoga: immortality and freedom. Translated fro…,DOHENY,"Eliade, Mircea, 1907-1986",31275027797803,1,638711,BOOKSTACKS,4WK/SEMSTR,[2d ed. with corrections and additional bibliographical notes.,1969,9/4/2013,20,,B132.Y6 E523 1969,B132.Y6E5231969,Yoga: immortality and freedom. Translated from the French by Willard R. Trask,LEAVEY,31275000868969,,1,638711,BOOKSTACKS,4WK/SEMSTR,[2d ed. with corrections and additional bibliographical notes.,1969,9/25/1996,2/13/2011,48
JK511 .B37 1977,JK511.B371977,The Presidential character : predicting performance in the White House / by James David Barber,The Presidential character : predicting perfo…,GRANDDEPOS,"Barber, James David",31275026875782,2,637431,BOOKSTACKS,4WK/SEMSTR,2d ed.,1977,11/21/2013,17,,JK511 .B37 1977,JK511.B371977,The Presidential character : predicting performance in the White House / by James David Barber,LEAVEY,31275003292035,,2,637431,BOOKSTACKS,4WK/SEMSTR,2d ed.,1977,9/25/1996,1/13/2012,48
PL794.N37 E5 1990,PL794.N37E51990,"The great mirror of male love / Ihara Saikaku ; translated, with an introduction, by Paul Gordon Schalow",The great mirror of male love / Ihara Saikaku…,DOHENY,"Ihara, Saikaku, 1642-1693",31275021454468,1,661295,BOOKSTACKS,4WK/SEMSTR,-,1990,12/6/2013,36,,PL794.N37 E5 1990,PL794.N37E51990,"The great mirror of male love / Ihara Saikaku ; translated, with an introduction, by Paul Gordon Schalow",LEAVEY,31275026329921,,1,661295,BOOKSTACKS,4WK/SEMSTR,-,1990,9/25/1996,1/9/2012,48
E741 .B64 1992,E741.B641992,"Remaking America : public memory, commemoration, and patriotism in the twentieth century / John Bodnar","Remaking America : public memory, commemorati…",DOHENY,"Bodnar, John E., 1944-",31275023772149,1,665624,BOOKSTACKS,4WK/SEMSTR,-,1992,1/11/2014,79,,E741 .B64 1992,E741.B641992,"Remaking America : public memory, commemoration, and patriotism in the twentieth century / John Bodnar",LEAVEY,31275026320987,,1,665624,BOOKSTACKS,4WK/SEMSTR,-,1992,9/25/1996,1/21/2014,48
NX512.3.A35 M47 1994,NX512.3.A35M471994,Welcome to the jungle : new positions in Black cultural studies / Kobena Mercer,Welcome to the jungle : new positions in Blac…,DOHENY,"Mercer, Kobena, 1960-",31275026136094,1,674791,BOOKSTACKS,4WK/SEMSTR,-,1994,5/18/2014,44,,NX512.3.A35 M47 1994,NX512.3.A35M471994,Welcome to the jungle : new positions in Black cultural studies / Kobena Mercer,LEAVEY,31275026045444,,1,674791,BOOKSTACKS,4WK/SEMSTR,-,1994,9/25/1996,11/7/2012,48
PN2062 .V56 1991,PN2062.V561991,Method actors : three generations of an American acting style / Steve Vineberg,Method actors : three generations of an Ameri…,DOHENY,"Vineberg, Steve",31275024932882,1,784305,BOOKSTACKS,4WK/SEMSTR,-,1991,6/27/2014,44,,PN2062 .V56 1991,PN2062.V561991,Method actors : three generations of an American acting style / Steve Vineberg,LEAVEY,31275026491994,,1,784305,BOOKSTACKS,4WK/SEMSTR,-,1991,9/25/1996,4/27/2012,48
P96.E25 H47 2002,P96.E25H472002,Manufacturing consent : the political economy of the mass media / Edward S. Herman and Noam Chomsky ; with a new introduction by the authors,Manufacturing consent : the political economy…,DOHENY,"Herman, Edward S",31275044173624,1,1945417,BOOKSTACKS,4WK/SEMSTR,-,2002,10/28/2014,30,,P96.E25 H47 2002,P96.E25H472002,Manufacturing consent : the political economy of the mass media / Edward S. Herman and Noam Chomsky ; with a new introduction by the authors,LEAVEY,31275036732197,,1,1945417,BOOKSTACKS,4WK/SEMSTR,-,2002,7/31/2002,12/9/2013,48
TP248.65.F66 E86 2002,TP248.65.F66E862002,The ethics of food : a reader for the twenty-first century / edited by Gregory E. Pence,The ethics of food : a reader for the twenty-…,DOHENY,"Pence, Gregory E",31275035729012,1,1940826,BOOKSTACKS,4WK/SEMSTR,-,2002,1/8/2015,22,,TP248.65.F66 E86 2002,TP248.65.F66E862002,The ethics of food : a reader for the twenty-first century / edited by Gregory E. Pence,LEAVEY,31275036633676,,1,1940826,BOOKSTACKS,4WK/SEMSTR,-,2002,3/7/2002,11/30/2012,48
BV3427.R46 S66 1984,BV3427.R46S661984,The memory palace of Matteo Ricci / Jonathan D. Spence,The memory palace of Matteo Ricci / Jonathan …,DOHENY,"Spence, Jonathan D",31275016681638,1,614802,BOOKSTACKS,4WK/SEMSTR,-,1984,2/27/2015,61,,BV3427.R46 S66 1984,BV3427.R46S661984,The memory palace of Matteo Ricci / Jonathan D. Spence,LEAVEY,31275005480711,,1,614802,BOOKSTACKS,4WK/SEMSTR,-,1984,9/25/1996,11/5/2010,48
HF5549.5.A34 M38 1996,HF5549.5.A34M381996,The end of affirmative action : where do we go from here? / Darien A. McWhirter,The end of affirmative action : where do we g…,DOHENY,"McWhirter, Darien A. (Darien Auburn)",31275046833282,1,968056,BOOKSTACKS,4WK/SEMSTR,-,1996,3/3/2015,4,,HF5549.5.A34 M38 1996,HF5549.5.A34M381996,The end of affirmative action : where do we go from here? / Darien A. McWhirter,LEAVEY,31275028209923,,1,968056,BOOKSTACKS,4WK/SEMSTR,-,1996,12/19/1996,10/23/2010,48
BP161.2 .E85 1988,BP161.2.E851988,Islam : the straight path / John L. Esposito,Islam : the straight path / John L. Esposito…,GRANDDEPOS,"Esposito, John L",31275046821998,1,656007,BOOKSTACKS,4WK/SEMSTR,-,1988,,0,,BP161.2 .E85 1988,BP161.2.E851988,Islam : the straight path / John L. Esposito,LEAVEY,31275019310516,,1,656007,BOOKSTACKS,4WK/SEMSTR,-,1988,9/25/1996,4/22/2014,48
PS3561.I483 N5 1993,PS3561.I483N51993,Nightmares & dreamscapes / Stephen King,Nightmares & dreamscapes / Stephen King…,DOHENY,"King, Stephen, 1947-",31275026111287,1,671047,BOOKSTACKS,4WK/SEMSTR,-,1993,8/27/1994,0,,PS3561.I483 N5 1993,PS3561.I483N51993,Nightmares & dreamscapes / Stephen King,LEAVEY,31275024935190,,1,671047,BOOKSTACKS,4WK/SEMSTR,-,1993,9/25/1996,9/19/2014,47
BF173 .F625,BF173.F625,"The basic writings of Sigmund Freud / translated and edited, with an introduction, by Dr. A. A. Brill",The basic writings of Sigmund Freud / transla…,GRANDDEPOS,"Freud, Sigmund, 1856-1939",31275000853367,4,37920,BOOKSTACKS,4WK/SEMSTR,-,1938,6/1/1998,10,,BF173 .F625,BF173.F625,"The basic writings of Sigmund Freud / translated and edited, with an introduction, by Dr. A. A. Brill",LEAVEY,31275000555384,,5,37920,BOOKSTACKS,4WK/SEMSTR,-,1938,9/23/1996,4/13/2011,47
PS3505.H3224 Z982 1978,PS3505.H3224Z9821978,The world of Raymond Chandler / edited by Miriam Gross ; introd. by Patricia Highsmith,The world of Raymond Chandler / edited by Mir…,GRANDDEPOS,"Gross, Miriam",31275021664967,1,641021,BOOKSTACKS,4WK/SEMSTR,-,1978,4/9/1999,17,,PS3505.H3224 Z982 1978,PS3505.H3224Z9821978,The world of Raymond Chandler / edited by Miriam Gross ; introd. by Patricia Highsmith,LEAVEY,31275002915016,,1,641021,BOOKSTACKS,4WK/SEMSTR,-,1978,9/25/1996,6/15/2010,47
E836 .A828 1983 v.2,E836.A8281983V.2,Eisenhower / Stephen E. Ambrose,Eisenhower / Stephen E. Ambrose…,GRANDDEPOS,"Ambrose, Stephen E",31275016689516,1,613558,BOOKSTACKS,4WK/SEMSTR,-,1983,10/31/2000,78,,E836 .A828 1983 v.2,E836.A8281983V.2,Eisenhower / Stephen E. Ambrose,LEAVEY,31275016161706,,1,613558,BOOKSTACKS,4WK/SEMSTR,-,1983,9/25/1996,12/11/2012,47
PS3513.I74 A17 1984,PS3513.I74A171984,"Collected poems, 1947-1980 / Allen Ginsberg","Collected poems, 1947-1980 / Allen Ginsberg…",DOHENY,"Ginsberg, Allen, 1926-1997",31275005410262,1,613430,BOOKSTACKS,4WK/SEMSTR,1st ed.,1984,9/10/2002,56,,PS3513.I74 A17 1984,PS3513.I74A171984,"Collected poems, 1947-1980 / Allen Ginsberg",LEAVEY,31275016704109,,1,613430,BOOKSTACKS,4WK/SEMSTR,1st ed.,1984,9/25/1996,1/20/2012,47
JC143.M4 B8 1962,JC143.M4B81962,The statecraft of Machiavelli,The statecraft of Machiavelli…,GRANDDEPOS,"Butterfield, Herbert, 1900-1979",31275005139697,1,626159,BOOKSTACKS,4WK/SEMSTR,-,1962,3/18/2004,39,,JC143.M4 B8 1962,JC143.M4B81962,The statecraft of Machiavelli,LEAVEY,31275000840562,,1,626159,BOOKSTACKS,4WK/SEMSTR,-,1962,9/25/1996,6/3/2013,47
B105.W3 W37 2003,B105.W3W372003,War after September 11 / edited by Verna V. Gehring,War after September 11 / edited by Verna V. G…,PHILOSOPHY,"Gehring, Verna V",31275037284156,1,2000841,BOOKSTACKS,4WK/SEMSTR,-,2003,11/15/2004,7,,B105.W3 W37 2003,B105.W3W372003,War after September 11 / edited by Verna V. Gehring,LEAVEY,31275037280071,,1,617804,BOOKSTACKS,4WK/SEMSTR,-,1971,2/25/2003,7/31/2013,47
PR6019.O9 D885 1988,PR6019.O9D8851988,Dubliners : a pluralistic world / Craig Hansen Werner,Dubliners : a pluralistic world / Craig Hanse…,DOHENY,"Werner, Craig Hansen, 1952-",31275021321881,1,658079,BOOKSTACKS,4WK/SEMSTR,-,1988,12/13/2004,42,,PR6019.O9 D885 1988,PR6019.O9D8851988,Dubliners : a pluralistic world / Craig Hansen Werner,LEAVEY,31275019439562,,1,658079,BOOKSTACKS,4WK/SEMSTR,-,1988,9/25/1996,1/30/2011,47
JX1391 .C32 1946,JX1391.C321946,"The twenty years' crisis, 1919-1939; an introduction to the study of international relations","The twenty years' crisis, 1919-1939; an intro…",GRANDDEPOS,"Carr, Edward Hallett, 1892-1982",31275002762129,1,626170,BOOKSTACKS,4WK/SEMSTR,[2d ed.],1961,8/28/2006,84,,JX1391 .C32 1946,JX1391.C321946,"The twenty years' crisis, 1919-1939; an introduction to the study of international relations",LEAVEY,31275000866138,,1,626170,BOOKSTACKS,4WK/SEMSTR,[2d ed.],1961,9/25/1996,3/9/2013,47
RC552.A5 V36313 1994,RC552.A5V363131994,From fasting saints to anorexic girls : the history of self-starvation / Walter Vandereycken & Ron van Deth,From fasting saints to anorexic girls : the h…,DOHENY,"Vandereycken, Walter, 1949-",31275028098029,1,934819,BOOKSTACKS,4WK/SEMSTR,-,1994,1/7/2009,34,,RC552.A5 V36313 1994,RC552.A5V363131994,From fasting saints to anorexic girls : the history of self-starvation / Walter Vandereycken & Ron van Deth,LEAVEY,31275027904714,,1,934819,BOOKSTACKS,4WK/SEMSTR,-,1994,12/19/1996,7/11/2013,47
PS508.A8 G76 1993,PS508.A8G761993,Growing up Asian American : an anthology / edited and with an introduction by Maria Hong ; afterword by Stephen H. Sumida,Growing up Asian American : an anthology / ed…,DOHENY,"Hong, Maria",31275024805450,1,671334,BOOKSTACKS,4WK/SEMSTR,1st ed.,1993,3/29/2009,53,,PS508.A8 G76 1993,PS508.A8G761993,Growing up Asian American : an anthology / edited and with an introduction by Maria Hong ; afterword by Stephen H. Sumida,LEAVEY,31275026372483,,1,671334,BOOKSTACKS,4WK/SEMSTR,1st ed.,1993,9/25/1996,9/5/2012,47
E185.6 .D797 1993,E185.6.D7971993,The souls of Black folk / W.E.B. DuBois ; with an introduction by Arnold Rampersad,The souls of Black folk / W.E.B. DuBois ; wit…,GRANDDEPOS,"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",31275037948461,1,671427,BOOKSTACKS,4WK/SEMSTR,-,1993,1/27/2011,1,,E185.6 .D797 1993,E185.6.D7971993,The souls of Black folk / W.E.B. DuBois ; with an introduction by Arnold Rampersad,LEAVEY,31275026364217,,1,671427,BOOKSTACKS,4WK/SEMSTR,-,1993,9/25/1996,9/15/2014,47
HC110.P6 G36 1995,HC110.P6G361995,The war against the poor : the underclass and antipoverty policy / Herbert J. Gans,The war against the poor : the underclass and…,DOHENY,"Gans, Herbert J",31275027526194,1,924346,BOOKSTACKS,4WK/SEMSTR,-,1995,2/24/2011,13,,HC110.P6 G36 1995,HC110.P6G361995,The war against the poor : the underclass and antipoverty policy / Herbert J. Gans,LEAVEY,31275027581363,,1,924346,BOOKSTACKS,4WK/SEMSTR,-,1995,12/8/1996,5/14/2012,47
PA4010.E5 O6 1959,PA4010.E5O61959,The works and days. Theogony. The shield of Herakles. Translated by Richmond Lattimore. Illustrated by Richard Wilt,The works and days. Theogony. The shield of H…,GRANDDEPOS,Hesiod,31275000871930,1,622229,BOOKSTACKS,4WK/SEMSTR,-,1959,7/6/2011,20,,PA4010.E5 O6 1959,PA4010.E5O61959,The works and days. Theogony. The shield of Herakles. Translated by Richmond Lattimore. Illustrated by Richard Wilt,LEAVEY,31275001077057,,1,622229,BOOKSTACKS,4WK/SEMSTR,-,1959,9/25/1996,8/5/2013,47
NA737.W7 T95,NA737.W7T95,"Frank Lloyd Wright, his life and his architecture / Robert C. Twombly","Frank Lloyd Wright, his life and his architec…",AFA,"Twombly, Robert C",31275019605311,1,641219,BOOKSTACKS,4WK/SEMSTR,-,1979,10/6/2011,30,,NA737.W7 T95,NA737.W7T95,"Frank Lloyd Wright, his life and his architecture / Robert C. Twombly",LEAVEY,31275000590365,,1,641219,BOOKSTACKS,4WK/SEMSTR,-,1979,9/25/1996,11/25/2011,47
D210 .T89 1984,D210.T891984,The march of folly : from Troy to Vietnam / Barbara W. Tuchman,The march of folly : from Troy to Vietnam / B…,DOHENY,"Tuchman, Barbara W. (Barbara Wertheim), 1912-1989",31275016044613,1,463836,BOOKSTACKS,4WK/SEMSTR,1st ed.,1984,10/17/2011,32,,D210 .T89 1984,D210.T891984,The march of folly : from Troy to Vietnam / Barbara W. Tuchman,LEAVEY,31275015098842,,1,463836,BOOKSTACKS,4WK/SEMSTR,1st ed.,1984,9/24/1996,9/12/2010,47
PS3515.E37 S924 1987,PS3515.E37S9241987,New essays on The sun also rises / edited by Linda Wagner-Martin,New essays on The sun also rises / edited by …,DOHENY,"Wagner-Martin, Linda",31275018858887,1,654212,BOOKSTACKS,4WK/SEMSTR,-,1987,11/29/2011,49,,PS3515.E37 S924 1987,PS3515.E37S9241987,New essays on The sun also rises / edited by Linda Wagner-Martin,LEAVEY,31275019046953,,1,654212,BOOKSTACKS,4WK/SEMSTR,-,1987,9/25/1996,10/8/2014,47
HD57.7 .B46 1993,HD57.7.B461993,An invented life : reflections on leadership and change / Warren Bennis ; foreword by Tom Peters,An invented life : reflections on leadership …,VKC,"Bennis, Warren G",31275024716889,1,492227,BOOKSTACKS,4WK/SEMSTR,-,1993,2/18/2012,58,,HD57.7 .B46 1993,HD57.7.B461993,An invented life : reflections on leadership and change / Warren Bennis ; foreword by Tom Peters,LEAVEY,31275026295049,,1,492227,BOOKSTACKS,4WK/SEMSTR,-,1993,9/24/1996,1/15/2014,47
PR5618 .A1 1994,PR5618.A11994,"Vanity fair : authoritative text, backgrounds, and content criticism / edited by Peter Shillingsburg","Vanity fair : authoritative text, backgrounds…",DOHENY,"Thackeray, William Makepeace, 1811-1863",31275026624511,1,372635,BOOKSTACKS,4WK/SEMSTR,1st ed.,1994,4/30/2012,41,,PR5618 .A1 1994,PR5618.A11994,"Vanity fair : authoritative text, backgrounds, and content criticism / edited by Peter Shillingsburg",LEAVEY,31275027588053,,1,372635,BOOKSTACKS,4WK/SEMSTR,1st ed.,1994,12/16/1996,5/11/2012,47
HN290.R47 P47,HN290.R47P47,The myth of marginality : urban poverty and politics in Rio de Janeiro / Janice E. Perlman,The myth of marginality : urban poverty and p…,DOHENY,"Perlman, Janice E",31275000296104,1,635751,BOOKSTACKS,4WK/SEMSTR,-,1976,5/10/2012,98,,HN290.R47 P47,HN290.R47P47,The myth of marginality : urban poverty and politics in Rio de Janeiro / Janice E. Perlman,LEAVEY,31275019418483,,1,635751,BOOKSTACKS,4WK/SEMSTR,-,1976,9/25/1996,11/5/2013,47
PS3551.S5 F594 1986,PS3551.S5F5941986,Foundation and earth / Isaac Asimov,Foundation and earth / Isaac Asimov…,DOHENY,"Asimov, Isaac, 1920-1992",31275039607461,1,610663,BOOKSTACKS,4WK/SEMSTR,1st ed.,1986,5/31/2012,39,,PS3551.S5 F594 1986,PS3551.S5F5941986,Foundation and earth / Isaac Asimov,LEAVEY,31275018559428,,1,610663,BOOKSTACKS,4WK/SEMSTR,1st ed.,1986,9/25/1996,3/10/2014,47
HX810.5 .E54 1992,HX810.5.E541992,Utopia / Thomas More ; translated from the Latin by Ralph Robinson ; with an introduction by Jenny Mezciems,Utopia / Thomas More ; translated from the La…,DOHENY,"More, Thomas, Saint, 1478-1535",31275037948073,1,672618,BOOKSTACKS,4WK/SEMSTR,-,1992,7/25/2012,5,,HX810.5 .E54 1992,HX810.5.E541992,Utopia / Thomas More ; translated from the Latin by Ralph Robinson ; with an introduction by Jenny Mezciems,LEAVEY,31275026299819,,1,672618,BOOKSTACKS,4WK/SEMSTR,-,1992,9/25/1996,9/1/2010,47
E184.J3 O27 1991,E184.J3O271991,The Japanese American experience / David J. O'Brien and Stephen S. Fugita,The Japanese American experience / David J. O…,DOHENY,"O'Brien, David J., 1941-",31275023175087,1,665297,BOOKSTACKS,4WK/SEMSTR,-,1991,10/24/2012,87,,E184.J3 O27 1991,E184.J3O271991,The Japanese American experience / David J. O'Brien and Stephen S. Fugita,LEAVEY,31275023854269,,1,665297,BOOKSTACKS,4WK/SEMSTR,-,1991,9/25/1996,12/14/2012,47
PS3515.U789 Z963 1993,PS3515.U789Z9631993,"Zora Neale Hurston : critical perspectives past and present / edited by Henry Louis Gates, Jr. and K.A. Appiah",Zora Neale Hurston : critical perspectives pa…,DOHENY,"Gates, Henry Louis, Jr",31275024933757,1,670691,BOOKSTACKS,4WK/SEMSTR,-,1993,1/28/2013,31,,PS3515.U789 Z963 1993,PS3515.U789Z9631993,"Zora Neale Hurston : critical perspectives past and present / edited by Henry Louis Gates, Jr. and K.A. Appiah",LEAVEY,31275026455130,,1,670691,BOOKSTACKS,4WK/SEMSTR,-,1993,9/25/1996,4/3/2013,47
D810.P6 F5 1983,D810.P6F51983,Film & radio propaganda in World War II / edited by K.R.M. Short,Film & radio propaganda in World War II / edi…,DOHENY,"Short, K. R. M. (Kenneth R. M.)",31275006626932,1,780597,BOOKSTACKS,4WK/SEMSTR,1st ed.,1983,5/6/2013,56,,D810.P6 F5 1983,D810.P6F51983,Film & radio propaganda in World War II / edited by K.R.M. Short,LEAVEY,31275015015432,,1,780597,BOOKSTACKS,4WK/SEMSTR,1st ed.,1983,9/25/1996,4/15/2012,47
PS3505.H3224 Z982 1978,PS3505.H3224Z9821978,The world of Raymond Chandler / edited by Miriam Gross ; introd. by Patricia Highsmith,The world of Raymond Chandler / edited by Mir…,DOHENY,"Gross, Miriam",31275000300807,2,641021,BOOKSTACKS,4WK/SEMSTR,-,1978,5/16/2013,46,,PS3505.H3224 Z982 1978,PS3505.H3224Z9821978,The world of Raymond Chandler / edited by Miriam Gross ; introd. by Patricia Highsmith,LEAVEY,31275002915016,,2,641021,BOOKSTACKS,4WK/SEMSTR,-,1978,9/25/1996,6/15/2010,47
JK468.E7 P8,JK468.E7P8,"Public duties : the moral obligations of government officials / edited by Joel L. Fleishman, Lance Liebman, Mark H. Moore",Public duties : the moral obligations of gove…,VKC,"Fleishman, Joel L",31275002223148,1,648771,BOOKSTACKS,4WK/SEMSTR,-,1981,5/24/2013,57,,JK468.E7 P8,JK468.E7P8,"Public duties : the moral obligations of government officials / edited by Joel L. Fleishman, Lance Liebman, Mark H. Moore",LEAVEY,31275001660019,,1,648771,BOOKSTACKS,4WK/SEMSTR,-,1981,9/25/1996,6/5/2013,47
NA735.L3 V4 1977,NA735.L3V41977,"Learning from Las Vegas : the forgotten symbolism of architectural form / Robert Venturi, Denise Scott Brown, Steven Izenour",Learning from Las Vegas : the forgotten symbo…,AFA,"Venturi, Robert",31275005759825,2,613213,BOOKSTACKS,4WK/SEMSTR,-,1977,1/3/2014,100,,NA735.L3 V4 1977,NA735.L3V41977,"Learning from Las Vegas : the forgotten symbolism of architectural form / Robert Venturi, Denise Scott Brown, Steven Izenour",LEAVEY,31275016950082,,2,613213,BOOKSTACKS,4WK/SEMSTR,-,1977,9/25/1996,1/30/2013,47
DS119.7 .S333 1979,DS119.7.S3331979,The question of Palestine / Edward W. Said,The question of Palestine / Edward W. Said…,GRANDDEPOS,"Said, Edward W",31275002822493,1,643918,BOOKSTACKS,4WK/SEMSTR,-,1979,1/16/2014,49,,DS119.7 .S333 1979,DS119.7.S3331979,The question of Palestine / Edward W. Said,LEAVEY,31275000855818,,1,643918,BOOKSTACKS,4WK/SEMSTR,-,1979,9/25/1996,3/23/2014,47
HN290.R47 P47,HN290.R47P47,The myth of marginality : urban poverty and politics in Rio de Janeiro / Janice E. Perlman,The myth of marginality : urban poverty and p…,VKC,"Perlman, Janice E",31275025476707,1,635751,BOOKSTACKS,4WK/SEMSTR,-,1976,1/23/2014,28,,HN290.R47 P47,HN290.R47P47,The myth of marginality : urban poverty and politics in Rio de Janeiro / Janice E. Perlman,LEAVEY,31275019418483,,1,635751,BOOKSTACKS,4WK/SEMSTR,-,1976,9/25/1996,11/5/2013,47
F869.L89 N335 1992,F869.L89N3351992,No crystal stair : African-Americans in the city of angels / Lynell George,No crystal stair : African-Americans in the c…,VKC,"George, Lynell",31275024820400,1,491573,BOOKSTACKS,4WK/SEMSTR,-,1992,2/4/2014,53,,F869.L89 N335 1992,F869.L89N3351992,No crystal stair : African-Americans in the city of angels / Lynell George,LEAVEY,31275026426503,,1,491573,BOOKSTACKS,4WK/SEMSTR,-,1992,9/24/1996,2/1/2015,47
E169.12 .A16 1984,E169.12.A161984,"The 60s, without apology / edited by Sohnya Sayres ... [et al.]","The 60s, without apology / edited by Sohnya S…",GRANDDEPOS,"Sayres, Sohnya",31275005420444,1,615003,BOOKSTACKS,4WK/SEMSTR,-,1984,3/12/2014,14,,E169.12 .A16 1984,E169.12.A161984,"The 60s, without apology / edited by Sohnya Sayres ... [et al.]",LEAVEY,31275005412144,,1,615003,BOOKSTACKS,4WK/SEMSTR,-,1984,9/25/1996,7/17/2014,47
PR2827 .A25 1992,PR2827.A251992,A midsummer night's dream / edited by Linda Buckle and Paul Kelley,A midsummer night's dream / edited by Linda B…,DOHENY,"Shakespeare, William, 1564-1616",31275025908600,1,1005012,BOOKSTACKS,4WK/SEMSTR,-,1992,3/18/2014,26,,PR2827 .A25 1992,PR2827.A251992,A midsummer night's dream / edited by Linda Buckle and Paul Kelley,LEAVEY,31275026447640,,1,1005012,BOOKSTACKS,4WK/SEMSTR,-,1992,1/15/1997,3/7/2013,47
LC2683.6 .G36 1995,LC2683.6.G361995,Over the ivy walls : the educational mobility of low-income Chicanos / Patricia Gándara,Over the ivy walls : the educational mobility…,DOHENY,"Gandara, Patricia C",31275027524975,1,108426,BOOKSTACKS,4WK/SEMSTR,-,1995,4/30/2014,48,,LC2683.6 .G36 1995,LC2683.6.G361995,Over the ivy walls : the educational mobility of low-income Chicanos / Patricia Gándara,LEAVEY,31275027871178,,1,108426,BOOKSTACKS,4WK/SEMSTR,-,1995,12/16/1996,1/28/2012,47
HM291 .K634 1992,HM291.K6341992,No contest : the case against competition / Alfie Kohn,No contest : the case against competition / A…,DOHENY,"Kohn, Alfie",31275024651508,1,667685,BOOKSTACKS,4WK/SEMSTR,Rev. ed.,1992,5/1/2014,27,,HM291 .K634 1992,HM291.K6341992,No contest : the case against competition / Alfie Kohn,LEAVEY,31275026298225,,1,667685,BOOKSTACKS,4WK/SEMSTR,Rev. ed.,1992,9/25/1996,5/16/2014,47
PS2384 .B5 1975,PS2384.B51975,"Billy Budd, sailor; an inside narrative. Edited, with an introd. and annotation by Milton R. Stern","Billy Budd, sailor; an inside narrative. Edit…",DOHENY,"Melville, Herman, 1819-1891",31275001002261,1,627739,BOOKSTACKS,4WK/SEMSTR,[1st ed.],1975,5/3/2014,46,,PS2384 .B5 1975,PS2384.B51975,"Billy Budd, sailor; an inside narrative. Edited, with an introd. and annotation by Milton R. Stern",LEAVEY,31275017308611,,1,627739,BOOKSTACKS,4WK/SEMSTR,[1st ed.],1975,9/25/1996,9/5/2012,47
RA651 .G37 1994,RA651.G371994,The coming plague : newly emerging diseases in a world out of balance / Laurie Garrett,The coming plague : newly emerging diseases i…,DOHENY,"Garrett, Laurie",31275027799007,1,675512,BOOKSTACKS,4WK/SEMSTR,-,1994,5/22/2014,36,,RA651 .G37 1994,RA651.G371994,The coming plague : newly emerging diseases in a world out of balance / Laurie Garrett,LEAVEY,31275026666983,,1,675512,BOOKSTACKS,4WK/SEMSTR,-,1994,9/25/1996,4/12/2011,47
DG78 .D8713 1993,DG78.D87131993,Daily life in ancient Rome / Florence Dupont ; translated by Christopher Woodall,Daily life in ancient Rome / Florence Dupont …,DOHENY,"Dupont, Florence",31275024743024,1,668428,BOOKSTACKS,4WK/SEMSTR,-,1993,9/4/2014,49,,DG78 .D8713 1993,DG78.D87131993,Daily life in ancient Rome / Florence Dupont ; translated by Christopher Woodall,LEAVEY,31275024813769,,1,668428,BOOKSTACKS,4WK/SEMSTR,-,1993,9/25/1996,3/2/2012,47
