Call Number,Call Number (Formatted),Title,Author,Barcode,Library,Home Location,Current Location,Year,Date Added,Last Check-Out,Check-Outs,,
RA643.86.D44 E385 2002,RA643.86.D44E3852002,Education and HIV/AIDS : a window of hope,World Bank,31275037267128,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,2/4/2003,3/30/2009,12,,
RA643.8 .U73 2003,RA643.8.U732003,The no-nonsense guide to HIV/AIDS / Shereen Usdin,"Usdin, Shereen",31275039133872,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,6/16/2004,1/28/2011,8,,
RA643.8.M47 2010,RA643.8.M472010,"Names, not just numbers : facing global AIDS and world hunger / Donald E. Messer","Messer, Donald E., 1941-",31275049537500,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,2/28/2012,Never,0,,
RA643.8 .K56 2003,RA643.8.K562003,Mortal secrets : truth and lies in the age of AIDS / Robert Klitzman and Ronald Bayer,"Klitzman, Robert",31275038822475,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,2/11/2004,4/11/2005,1,,
RA643.8.J65 2010,RA643.8.J652010,AIDS scorecards : overview : UNAIDS report on the global AIDS epidemic 2010 / [UNAIDS],Joint United Nations Programme on HIV/AIDS,31275049532063,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,12/16/2011,Never,0,,
RA643.8 .I575 2005,RA643.8.I5752005,"Healers abroad : Americans responding to the human resource crisis in HIV/AIDS / Committee on the Options for Overseas Placement of U.S. Health Professionals, Board on Global Health ; Fitzhugh Mullan, Claire Panosian, Patricia Cuff, editors",Institute of Medicine (U.S.). Committee on the Options for Overseas Placement of U.S. Health Professionals,31275040033095,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,12/8/2005,9/28/2008,3,,
RA639 .T676 2005,RA639.T6762005,"Beasts of the earth : animals, humans, and disease / E. Fuller Torrey, Robert H. Yolken","Torrey, E. Fuller (Edwin Fuller), 1937-",31275039996229,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,9/1/2005,10/28/2010,13,,
RA601 .N465 2003,RA601.N4652003,"Safe food : bacteria, biotechnology, and bioterrorism / Marion Nestle","Nestle, Marion",31275037388890,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,7/10/2003,3/6/2011,11,,
RA601 .F67 2000bx,RA601.F672000bx,The future of food / Brian J. Ford,"Ford, Brian J",31275034466350,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,11/15/2000,12/2/2009,12,,
RA601 .A27 2009,RA601.A272009,Breadline USA : the hidden scandal of American hunger and how to fix it / Sasha Abramsky,"Abramsky, Sasha",31275053654050,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,1/13/2012,Never,0,,
RA601.5 .F68 1997,RA601.5.F681997,Spoiled : the dangerous truth about a foodchain gone haywire / Nicols Fox,"Fox, Nicols",31275028742279,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,11/25/1997,12/2/2009,7,,
RA566.3 .F58 2000,RA566.3.F582000,Unhealthy places : the ecology of risk in the urban landscape / Kevin M. Fitzpatrick and Mark LaGory,"Fitzpatrick, Kevin M",31275034310996,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,8/8/2000,1/13/2010,9,,
RA566.27 .G65 2002,RA566.27.G652002,"How much risk? : a guide to understanding environmental health hazards / Inge F. Goldstein, Martin Goldstein","Goldstein, Inge F",31275036731652,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,7/31/2002,1/22/2010,17,,
RA565 .D385 2002,RA565.D3852002,When smoke ran like water : tales of environmental deception and the battle against pollution / Devra Davis,"Davis, Devra Lee",31275037366136,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,6/5/2003,11/3/2009,6,,
RA564.85 .W66683 1997,RA564.85.W666831997,"Women's health : complexities and differences / edited by Sheryl Burt Ruzek, Virginia L. Olesen, Adele E. Clarke","Ruzek, Sheryl Burt",31275012215936,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,11/2/1997,11/11/2007,15,,
RA563.M56 E838 2001,RA563.M56E8382001,Ethnic diseases sourcebook / edited by Joyce Brennfleck Shannon,"Shannon, Joyce Brennfleck",31275035665224,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,11/20/2001,10/27/2005,12,,
RA552.E8H83 2011,RA552.E8H832011,Doctors without Borders in Ethiopia : among the Afar / Nyla Jo Jones Hubbard,"Hubbard, Nyla Jo Jones",31275049537146,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,2/28/2012,Never,0,,
RA448.5.N4 H395 2001,RA448.5.N4H3952001,"Health issues in the Black community / Ronald L. Braithwaite, Sandra E. Taylor, editors ; foreword by Jesse L. Jackson, Sr","Braithwaite, Ronald L., 1945-",31275034628579,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,9/19/2001,3/16/2007,12,,
RA445 .F27 2005,RA445.F272005,Prescription for a healthy nation : a new approach to improving our lives by fixing our everyday world / Tom Farley and Deborah A. Cohen,"Farley, Tom (Tom Alexander)",31275041331852,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,11/14/2005,9/12/2011,3,,
RA441 .H44 2002,RA441.H442002,"Health policy in a globalising world / edited by Kelley Lee, Kent Buse, and Suzanne Fustukian","Lee, Kelley, 1962-",31275037351294,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,3/12/2003,4/21/2011,12,,
RA440.87.U6 T6,RA440.87.U6T6,To improve health and health care : the Robert Wood Johnson Foundation anthology,Robert Wood Johnson Foundation,1376950-10001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,10/23/2008,Never,0,,
RA427.8 .B83 2000,RA427.8.B832000,An ethic for health promotion : rethinking the sources of human well-being / David R. Buchanan,"Buchanan, David Ross",31275035094318,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,3/31/2000,5/11/2010,10,,
RA427.3 .M39 2004,RA427.3.M392004,"True warnings and false alarms : evaluating fears about the health risks of technology, 1948-1971 / Allan Mazur","Mazur, Allan",31275039405585,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,11/11/2004,Never,0,,
RA427.3 .K73 2005,RA427.3.K732005,"To your health : how to understand what research tells us about risk / by Helena Chmura Kraemer, Karen Kraemer Lowe, and David J. Kupfer","Kraemer, Helena Chmura",31275041331704,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,11/14/2005,Never,0,,
RA425 .C34 2002,RA425.C342002,"Public health leadership & management : cases and context / by Stuart A. Capper, Peter M. Ginter, and Linda E. Swayn","Capper, Stuart A",31275036652262,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,4/16/2002,2/2/2011,12,,
RA422 .I23 2011,RA422.I232011,"Improving health sector performance : institutions, motivations and incentives : the Cambodia dialogue / edited by Hossein Jalilian and Vicheth Sen","Jalilian, Hossein, 1951-",31275049525521,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,6/18/2013,Never,0,,
RA418 .S67384 2004,RA418.S673842004,The sociology of health and illness : a reader / edited by Michael Bury and Jonathan Gabe,"Bury, Michael, 1945-",31275038852696,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,4/7/2004,4/8/2011,4,,
RA418 .M385 2002,RA418.M3852002,"Medicine and social justice : essays on the distribution of health care / edited by Rosamond Rhodes, Margaret P. Battin, Anita Silvers","Rhodes, Rosamond",31275037351526,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,3/12/2003,4/21/2011,12,,
RA418 .H83 1995,RA418.H831995,"Profitable promises : essays on women, science, and health / Ruth Hubbard","Hubbard, Ruth, 1924-2016",31275027635474,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,12/8/1996,5/16/2005,3,,
RA418 .G27 2004,RA418.G272004,"Key concepts in medical sociology / Jonathan Gabe, Mike Bury, and Mary Ann Elston","Gabe, Jonathan",31275039409876,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,11/23/2004,11/20/2008,4,,
RA418 .D384 2003,RA418.D3842003,"Debating biology : sociological reflections on health, medicine, and society / edited by Simon J. Williams, Lynda Birke, and Gillian A. Bendelow","Williams, Simon J. (Simon Johnson), 1961-",31275037716314,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,12/3/2003,Never,0,,
RA418 .B86 2005,RA418.B862005,Health and illness / Michael Bury,"Bury, Michael, 1945-",31275039996492,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,9/6/2005,12/1/2005,2,,
RA418.3.U6 E455 2003,RA418.3.U6E4552003,Better than well : American medicine meets the American dream / Carl Elliott ; with a foreword by Peter D. Kramer,"Elliott, Carl, 1961-",31275037388379,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,7/8/2003,9/6/2011,10,,
RA413 .A618 2001,RA413.A6182001,The ethics of managed care : a pragmatic approach / Mary R. Anderlik,"Anderlik, Mary R",31275035647388,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,1/9/2002,4/1/2006,12,,
RA413.7.U53 S47 2005,RA413.7.U53S472005,Uninsured in America : life and death in the land of opportunity / Susan Starr Sered and Rushika Fernandopulle,"Sered, Susan Starr",31275039996005,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,9/6/2005,12/17/2011,6,,
RA413.5.U5 B495 1997,RA413.5.U5B4951997,Managed Care: Made in America / Arnold Birenbaum,"Birenbaum, Arnold",31275028510304,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,9/5/1997,6/17/2009,22,,
RA413.5.U5B494 1999,RA413.5.U5B4941999,Disability and managed care : problems and opportunities at the end of the century / Arnold Birenbaum,"Birenbaum, Arnold",31275029629129,LEAVEY,BOOKSTACKS,BOOKSTACKS,1999,12/17/1999,11/8/2002,3,,
RA413.5.G7 W43 2002,RA413.5.G7W432002,The National Health Service : a political history / Charles Webster,"Webster, Charles, 1936-",31275037317717,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,11/27/2002,7/10/2006,1,,
RA413.5.G7 B58 2002x,RA413.5.G7B582002x,The blue book on health / edited by Edward Vaizey,"Vaizey, Edward",31275037260354,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,1/29/2003,7/10/2006,1,,
RA412.5.C3 A76 1998,RA412.5.C3A761998,Universal health care : what the United States can learn from the Canadian experience / Pat Armstrong and Hugh Armstrong with Claudia Fegan,"Armstrong, Pat, 1945-",31275012465705,LEAVEY,BOOKSTACKS,BOOKSTACKS,1998,7/14/1998,12/17/2011,19,,
RA412.5.A8 G73 2004x,RA412.5.A8G732004x,"The politics of Medicare : who gets what, when and how / Gwendolyn Gray","Gray, Gwendolyn",31275039992830,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,8/15/2005,7/10/2006,3,,
RA412.3 .A27 2008,RA412.3.A272008,"Reforming Medicare : options, tradeoffs, and opportunities / Henry J. Aaron, Jeanne M. Lambrew ; with Patrick F. Healy","Aaron, Henry J",31275045608149,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,9/18/2008,11/15/2009,1,,
RA412.2 .Q33  2005,RA412.2.Q332005,"One nation, uninsured : why the U.S. has no national health insurance / Jill Quadagno","Quadagno, Jill S",31275039996161,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,9/6/2005,12/17/2011,8,,
RA412.2 .J675 2003,RA412.2.J6752003,Disentitlement? : the threats facing our public health-care programs and a rights-based response / Timothy Stoltzfus Jost,"Jost, Timothy S",31275037767812,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,9/3/2003,10/19/2009,2,,
RA410.53 .W48,RA410.53.W48,Who's buying health care,,2166809-4001,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,7/10/2013,Never,0,,
RA410.53 .W46 9th ed.,RA410.53.W469thed.,Who's buying health care,,31275054511069,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,1/24/2006,Never,0,,
RA410.53 .B37 2006,RA410.53.B372006,Critical condition : how health care in America became big business-- and bad medicine / Donald L. Barlett and James B. Steele,"Barlett, Donald L",31275040037344,LEAVEY,BOOKSTACKS,BOOKSTACKS,2006,12/12/2005,9/10/2009,11,,
RA407.3.A44 2011,RA407.3.A442011,American public opinion and health care / Robert J. Blendon ... [et al.],"Blendon, Robert",31275049532626,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,12/16/2011,Never,0,,
RA395.A3 S897 2004,RA395.A3S8972004,"Health care USA : understanding its organization and delivery / Harry A. Sultz, Kristina M. Young","Sultz, Harry A",31275040229404,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,5/4/2005,11/12/2005,2,,
RA395.A3 P67 2004,RA395.A3P672004,"Portable health administration / edited by James T. Ziegenfuss, Jr., Joseph W. Sassani","Ziegenfuss, James T",31275039074878,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,5/12/2004,4/8/2011,9,,
RA395.A3 L413 2003,RA395.A3L4132003,Health care meltdown : confronting the myths and fixing our failing system / Robert H. LeBow ; foreword by John P. Geyman,"LeBow, Robert H., 1940-",31275039114088,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,5/26/2004,11/15/2009,11,,
RA395.A3 G44 2004,RA395.A3G442004,"Generalist medicine and the U.S. health care system / Stephen L. Isaacs, James R. Knickman, editors ; foreword by Risa Lavizzo-Mourey","Isaacs, Stephen L",31275039409413,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,11/23/2004,7/10/2006,1,,
RA394 .H4145 2002,RA394.H41452002,Health care reform around the world / edited by Andrew C. Twaddle,"Twaddle, Andrew C., 1938-",31275037242485,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,1/9/2003,4/8/2011,3,,
RA1258.M66 2008,RA1258.M662008,Poisons on our plates : the real food safety problem in the United States / Michele Morrone,"Morrone, Michele, 1962-",31275049537666,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,1/3/2012,Never,0,,
RA1231.R2 G57 2003,RA1231.R2G572003,"In the name of science : a history of secret programs, medical research, and human experimentation / Andrew Goliszek","Goliszek, Andrew",31275038843885,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,3/24/2004,11/3/2008,9,,
RA1224.2 .C33 1999,RA1224.2.C331999,Altering Eden : the feminization of nature / Deborah Cadbury,"Cadbury, Deborah",31275029684041,LEAVEY,BOOKSTACKS,BOOKSTACKS,1999,10/20/1999,2/14/2008,5,,
RA1213.O88 2011,RA1213.O882011,"The dose makes the poison : a plain-language guide to toxicology / Patricia Frank, M. Alice Ottoboni","Frank, Patricia",31275049537336,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,2/28/2012,Never,0,,
RA1211 .S355 1997,RA1211.S3551997,"Understanding toxicology : chemicals, their benefits and risks / H. Bruno Schiefer, Donald G. Irvine, Shirley C. Buzik","Schiefer, H. Bruno, 1929-",31275012090040,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,11/13/1997,9/17/2009,5,,
RA1148 .R35 2002,RA1148.R352002,The criminal mind : a writer's guide to forensic psychology / by Katherine Ramsland,"Ramsland, Katherine M., 1953-",31275037242402,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,1/9/2003,3/20/2006,2,,
RA1053 .B87 2000,RA1053.B872000,"Bodies of evidence : medicine and the politics of the English inquest, 1830-1926 / Ian A. Burney","Burney, Ian A",31275035094219,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,3/31/2000,10/18/2007,14,,
R857.M3 P37 1992,R857.M3P371992,Biomaterials : an introduction / Joon B. Park and Roderic S. Lakes,"Park, Joon Bu",31275027538603,LEAVEY,BOOKSTACKS,BOOKSTACKS,1992,12/8/1996,11/17/2011,13,,
R856 .S457 2004,R856.S4572004,Replaceable you : engineering the body in postwar America / David Serlin,"Serlin, David Harley",31275046155058,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,12/22/2008,1/4/2010,2,,
R853.H8 H67 1998,R853.H8H671998,Acres of skin : human experiments at Holmesburg Prison : a true story of abuse and exploitation in the name of medical science / Allen M. Hornblum,"Hornblum, Allen M",31275012465077,LEAVEY,BOOKSTACKS,BOOKSTACKS,1998,7/14/1998,1/7/2002,15,,
R853.A53 W47 2001,R853.A53W472001,Why animal experimentation matters : the use of animals in medical research / edited by Ellen Frankel Paul and Jeffrey Paul,"Paul, Ellen Frankel",31275035675587,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,11/9/2001,10/30/2007,11,,
R852 .W45 2002,R852.W452002,The year of the genome : a diary of the biological revolution / Gerald Weissmann,"Weissmann, Gerald",31275036783257,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,10/11/2002,Never,0,,
r782.7 I95s,r782.7I95s,The four symphonies of Charles Ives [sound recording] / Ives,"Ives, Charles, 1874-1954",1310133-7001,LEAVEY,BOOKSTACKS,BOOKSTACKS,0,1/20/2011,Never,0,,
R733 .W44 1988,R733.W441988,Health and healing / Andrew Weil,"Weil, Andrew",31275019446963,LEAVEY,BOOKSTACKS,BOOKSTACKS,1988,9/25/1996,7/7/2010,49,,
R733 .O86 1988,R733.O861988,Other healers : unorthodox medicine in America / edited by Norman Gevitz,"Gevitz, Norman",31275021314365,LEAVEY,BOOKSTACKS,BOOKSTACKS,1988,9/25/1996,7/6/2004,22,,
R733 .M87 2005,R733.M872005,The whole story : alternative medicine on trial? / Toby Murcott,"Murcott, Toby, 1963-",31275039996401,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,9/6/2005,10/16/2005,1,,
R733 .I54 2003x,R733.I542003x,Exploring complementary and alternative medicine / Institute of Medicine,Institute of Medicine (U.S.),31275037663433,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,10/18/2006,8/24/2010,11,,
R730 .Y68 1992,R730.Y681992,The medical messiahs : a social history of health quackery in twentieth-century America / James Harvey Young,"Young, James Harvey",31275026333949,LEAVEY,BOOKSTACKS,BOOKSTACKS,1992,9/25/1996,1/14/2003,12,,
R729.5.G4B36 2011,R729.5.G4B362011,Out of practice : fighting for primary care medicine in America / Frederick M. Barken,"Barken, Frederick M. (Frederick Mitchell), 1955-",31275049532444,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,12/16/2011,Never,0,,
R727.42 .H67 2003,R727.42.H672003,"Second opinion : doctors, diseases, and decisions in modern medicine / Richard Horton","Horton, Richard C",31275037719409,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,1/7/2004,9/26/2010,2,,
R726 .S64 2001x,R726.S642001x,Death talk : the case against euthanasia and physician-assisted suicide / Margaret Somerville,"Somerville, Margaret A., 1942-",31275036732015,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,7/31/2002,4/13/2011,12,,
R726 .R445 1998,R726.R4451998,"Regulating how we die : the ethical, medical, and legal issues surrounding physician-assisted suicide / edited by Linda L. Emanuel","Emanuel, Linda L",31275012456068,LEAVEY,BOOKSTACKS,BOOKSTACKS,1998,8/3/1998,4/4/2009,33,,
R726 .K48 1991,R726.K481991,Prescription--medicide : the goodness of planned death / Jack Kevorkian,"Kevorkian, Jack",31275027547026,LEAVEY,BOOKSTACKS,BOOKSTACKS,1991,12/16/1996,4/13/2011,32,,
R726.8 .M56 1999,R726.8.M561999,"When we die : the science, culture, and rituals of death / Cedric Mims","Mims, Cedric A",31275029755213,LEAVEY,BOOKSTACKS,BOOKSTACKS,1999,5/6/1999,4/21/2009,19,,
R726.8 .K385 2005,R726.8.K3852005,#NAME?,"Kaufman, Sharon R",31275039996096,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,9/1/2005,Never,0,,
R726.8 .G68 1993,R726.8.G681993,The Day of the Dead : and other mortal reflections / F. Gonzalez-Crussi,"Gonzalez-Crussi, F",31275027472332,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,12/16/1996,5/11/2007,9,,
R726.5 .M69 1993,R726.5.M691993,"Healing and the mind / Bill Moyers ; Betty Sue Flowers, editor ; David Grubin, executive producer","Moyers, Bill D",31275023276828,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,9/25/1996,5/21/2007,32,,
R726.5 .M69 1993,R726.5.M691993,"Healing and the mind / Bill Moyers ; Betty Sue Flowers, editor ; David Grubin, executive producer","Moyers, Bill D",31275029549186,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,6/14/2007,4/22/2008,2,,
R725.5 .O544 2002,R725.5.O5442002,Autonomy and trust in bioethics / Onora O'Neill,"O'Neill, Onora, 1941-",31275037241560,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,12/23/2002,4/13/2011,10,,
R725.5 .K376 2005,R725.5.K3762005,On the take : how America's complicity with big business can endanger your health / Jerome P. Kassirer,"Kassirer, Jerome P., 1932-",31275041315772,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,10/10/2005,9/11/2011,4,,
R725.5 .I5 2004,R725.5.I52004,In the wake of terror : medicine and morality in a time of crisis / edited by Jonathan D. Moreno ; foreword by Ford Rowan,"Moreno, Jonathan D",31275045669828,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,1/22/2009,Never,0,,
R724 .R626 2006,R724.R6262006,Trust is not enough : bringing human rights to medicine / David J. Rothman and Sheila M. Rothman ; preface by Aryeh Neier,"Rothman, David J",31275047027264,LEAVEY,BOOKSTACKS,BOOKSTACKS,2006,7/30/2009,Never,0,,
R724 .O94 2006,R724.O942006,Ethics and AIDS : compassion and justice in a global crisis / Kenneth R. Overberg,"Overberg, Kenneth R",31275046608908,LEAVEY,BOOKSTACKS,BOOKSTACKS,2006,10/22/2009,Never,0,,
R724 .L25 2007,R724.L252007,Condition critical : a new moral vision for health care / Richard D. Lamm and Robert H. Blank,"Lamm, Richard D",31275046925864,LEAVEY,BOOKSTACKS,BOOKSTACKS,2007,2/19/2010,Never,0,,
R724 .B484 1987,R724.B4841987,"Bioethics : readings & cases / [compiled by] Baruch A. Brody, H. Tristram Engelhardt, Jr","Brody, Baruch A",31275018333360,LEAVEY,BOOKSTACKS,BOOKSTACKS,1987,9/25/1996,7/7/2010,51,,
R724 .B4826 2001,R724.B48262001,Bioethics in social context / edited by Barry Hoffmaster,"Hoffmaster, C. Barry",31275034593997,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,8/8/2001,7/7/2010,18,,
R724 .B4585 2000,R724.B45852000,Bioethics : ancient themes in contemporary issues / edited by Mark G. Kuczewski and Ronald Polansky,"Kuczewski, Mark G",31275035755421,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,7/17/2001,7/7/2010,7,,
R705 .N847 2009,R705.N8472009,The soul of medicine : tales from the bedside / Sherwin B. Nuland,"Nuland, Sherwin B",31275053279676,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,12/9/2011,Never,0,,
R695.M35 R53 2005,R695.M35R532005,"A black physician's struggle for civil rights : Edward C. Mazique, M.D. / Florence Ridlon","Ridlon, Florence, 1946-",31275046142445,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,1/13/2009,Never,0,,
R692 .W676 1997,R692.W6761997,"Women healers and physicians : climbing a long hill / Lillian R. Furst, editor","Furst, Lilian R",31275028512961,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,10/30/1997,7/3/2008,22,,
R603.T5 B35 1997,R603.T5B351997,The Tibetan art of healing / paintings by Romio Shrestha ; text by Ian A. Baker ; foreword by His Holiness the Dalai Lama ; preface by Deepak Chopra,"Baker, Ian, 1957-",31275028516467,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,12/3/1997,1/17/2003,17,,
R601 .H5513 1993,R601.H55131993,A history of Chinese medicine / Dominique and Marie-Joseph Hoizey ; translated by Paul Bailey,"Hoizey, Dominique",31275026333287,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,9/25/1996,8/26/2010,40,,
R601 .C53 1997x,R601.C531997x,Chinese medicine / consultant editor Duo Gao with special consultant Barbara Bernie,"Gao, Duo",31275012507241,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,6/5/1998,8/31/2005,33,,
R145 .F75 1998,R145.F751998,"Medicine's 10 greatest discoveries / Meyer Friedman, Gerald W. Friedland","Friedman, Meyer, 1910-",31275029819886,LEAVEY,BOOKSTACKS,BOOKSTACKS,1998,1/19/1999,9/19/2003,5,,
R131 .M179 1992,R131.M1791992,A history of medicine / Lois N. Magner,"Magner, Lois N., 1943-",31275027847954,LEAVEY,BOOKSTACKS,BOOKSTACKS,1992,12/8/1996,12/22/2011,24,,
R121 .B598,R121.B598,Black's medical dictionary,"Black's medical dictionary (London, England)",1052207-6001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1906,9/25/2002,Never,0,,
QR9 .S26 2000,QR9.S262000,Microbes and people : an A-Z of microorganisms in our lives / by Neeraja Sankaran,"Sankaran, Neeraja",31275034590142,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,8/15/2001,10/5/2010,6,,
QR56.M26 2011,QR56.M262011,Allies and enemies : how the world depends on bacteria / Anne Maczulak,"Maczulak, Anne E. (Anne Elizabeth), 1954-",31275049532576,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,12/16/2011,Never,0,,
QR41.2 .H638 2011,QR41.2.H6382011,Living in a microbial world / Bruce V. Hofkin,"Hofkin, Bruce V",31275048646955,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,11/22/2010,5/25/2011,5,,
QR41.2 .B48 2005,QR41.2.B482005,"Microbiology demystified / Tom Betsy, Jim Keogh","Betsy, Tom",31275044909944,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,5/28/2008,4/24/2009,3,,
QR31.F5 M32 1984b,QR31.F5M321984b,"Alexander Fleming, the man and the myth / Gwyn Macfarlane","Macfarlane, Gwyn, 1907-1987",31275015264410,LEAVEY,BOOKSTACKS,BOOKSTACKS,1984,9/25/1996,11/14/2006,18,,
QR100 .C63 2003,QR100.C632003,Impossible extinction : natural catastrophes and the supremacy of the microbial world / Charles S. Cockell,"Cockell, Charles",31275037663011,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,8/6/2003,Never,0,,
QP941 .W5,QP941.W5,"Our daily poison; the effects of DDT, fluorides, hormones, and other chemicals on modern man. Foreword by Morton S. Biskind, pref. by William Coda Martin, introd. by Jonathan Forman","Wickenden, Leonard",31275000688045,LEAVEY,BOOKSTACKS,BOOKSTACKS,1956,9/25/1996,2/21/2005,18,,
QP91 .H454 2005,QP91.H4542005,Five quarts : a personal and natural history of blood / Bill Hayes,"Hayes, Bill",31275039996013,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,9/2/2005,Never,0,,
QP88.2 .N87 1990,QP88.2.N871990,Nutrition and bone development / edited by David Jason Simmons,"Simmons, David Jason",31275026272212,LEAVEY,BOOKSTACKS,BOOKSTACKS,1990,6/25/2003,3/16/2004,1,,
QP88.2 .C867 2002,QP88.2.C8672002,Bones : structure and mechanics / John D. Currey,"Currey, John D., 1932-",31275037241818,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,12/23/2002,3/16/2004,1,,
QP87 .V65 2002,QP87.V652002,What is death? : a scientist looks at the cycle of life / Tyler Volk,"Volk, Tyler",31275036788918,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,10/16/2002,9/28/2010,3,,
QP86 .R525 1995,QP86.R5251995,"Aging : a natural history / Robert E. Ricklefs, Caleb E. Finch","Ricklefs, Robert E",31275027871541,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,12/16/1996,8/28/2006,27,,
QP86 .K52 1999,QP86.K521999,Time of our lives : the science of human aging / Tom Kirkwood,"Kirkwood, T. B. L",1525526-4001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1999,12/30/2015,Never,0,,
QP86 .H35,QP86.H35,"Handbook of the biology of aging / editors, Caleb E. Finch, Leonard Hayflick, with the assistance of associate editors Harold Brody, Isadore Rossman, F. Marott Sinex","Finch, Caleb, 1939-",31275000560798,LEAVEY,BOOKSTACKS,BOOKSTACKS,1977,9/23/1996,9/11/2010,31,,
