Call Number,Call Number (Formatted),Title,Author,Barcode,Library,Home Location,Current Location,Year,Date Added,Last Check-Out,Check-Outs,,
VM55 .M36 1987,VM55.M361987,Ancient boats in N.W. Europe : the archaeology of water transport to AD 1500 / Sean McGrail,"McGrail, Sean",31275021640447,LEAVEY,BOOKSTACKS,BOOKSTACKS,1987,9/25/1996,8/22/2005,22,,
VM533 .D295 1986,VM533.D2951986,"The art of knotting and splicing / by Cyrus Lawrence Day ; edited by Ray O. Beard, Jr. and M. Lee Hoffman, Jr","Day, Cyrus Lawrence, 1900-1968",31275018218124,LEAVEY,BOOKSTACKS,BOOKSTACKS,1986,9/25/1996,2/12/2010,30,,
VM15 .G72 1995,VM15.G721995,The archaeology of boats & ships : an introduction / Basil Greenhill ; with John Morrison,"Greenhill, Basil",31275027326876,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,12/8/1996,10/17/2005,26,,
VM144 .G74 1988,VM144.G741988,The evolution of the wooden ship / Basil Greenhill ; illustrations by Sam Manning,"Greenhill, Basil",31275022774864,LEAVEY,BOOKSTACKS,BOOKSTACKS,1988,9/25/1996,10/17/2005,22,,
VK23 .V69 2009,VK23.V692009,"Voyages, the age of sail : documents in American maritime history. Volume 1, 1492-1865 / edited by Joshua M. Smith and the National Maritime Historical Society","Smith, Joshua M",31275046975703,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,2/26/2010,Never,0,,
VK23 .V689 2009,VK23.V6892009,"Voyages, the age of engines : documents in American maritime history. Volume II, 1865-present / edited by Joshua M. Smith and the National Maritime Historical Society","Smith, Joshua M",31275046975711,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,2/26/2010,Never,0,,
VA55 .B36 1986,VA55.B361986,The United States Navy : 200 years / Edward L. Beach,"Beach, Edward Latimer, 1918-",31275018219932,LEAVEY,BOOKSTACKS,BOOKSTACKS,1986,9/25/1996,2/2/2000,8,,
VA454 .O94 2002x,VA454.O942002x,"The Oxford illustrated history of the Royal Navy / general editor, J.R. Hill ; consultant editor, Bryan Ranft","Hill, J. R. (John Richard), 1929-",31275037351252,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,3/12/2003,7/18/2003,2,,
UH23 .S56 1999,UH23.S561999,The fighting rabbis : Jewish military chaplains and American history / Albert Isaac Slomovitz,"Slomovitz, Albert Isaac",31275029694966,LEAVEY,BOOKSTACKS,BOOKSTACKS,1999,1/5/1999,3/23/2005,2,,
UF750 .C76 2002,UF750.C762002,Throwing fire : a history of projectile technology / Alfred W. Crosby,"Crosby, Alfred W",31275036719129,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,7/15/2002,1/4/2011,4,,
