,10/1/17,10/2/17,10/3/17,10/4/17,10/5/17,10/6/17,10/7/17,10/8/17,10/9/17,10/10/17,10/11/17,10/12/17,10/13/17,10/14/17,10/15/17,10/16/17,10/17/17,10/18/17,10/19/17,10/20/17,10/21/17,10/22/17,10/23/17,10/24/17,10/25/17,10/26/17,10/27/17,10/28/17,10/29/17,10/30/17,10/31/17,
,10/1/17,10/2/17,10/3/17,10/4/17,10/5/17,10/6/17,10/7/17,10/8/17,10/9/17,10/10/17,10/11/17,10/12/17,10/13/17,10/14/17,10/15/17,10/16/17,10/17/17,10/18/17,10/19/17,10/20/17,10/21/17,10/22/17,10/23/17,10/24/17,10/25/17,10/26/17,10/27/17,10/28/17,10/29/17,10/30/17,10/31/17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 AM,0,173,271,178,227,153,111,0,205,240,192,292,147,92,0,172,289,255,193,155,100,0,191,227,186,242,156,142,0,208,226,12 AM
1 AM,0,130,150,177,141,94,82,0,138,203,212,145,122,66,0,110,157,156,129,86,61,0,110,152,214,178,114,44,0,110,158,1 AM
2 AM,0,85,130,135,147,69,21,0,100,147,127,129,76,38,0,71,136,114,120,42,31,0,59,118,97,131,80,64,0,101,121,2 AM
3 AM,0,58,79,71,68,44,26,0,55,69,107,72,43,21,0,53,79,66,58,31,19,0,53,74,48,85,38,35,0,53,72,3 AM
4 AM,0,53,36,45,49,17,10,0,28,32,66,50,29,13,0,22,41,41,47,18,9,0,36,37,34,32,18,23,0,46,46,4 AM
5 AM,0,43,36,29,49,18,12,0,23,23,16,39,30,10,0,24,11,56,24,18,8,0,20,52,23,30,18,7,0,25,22,5 AM
6 AM,0,15,23,48,17,28,2,0,50,26,64,33,26,6,0,14,16,16,25,18,11,0,33,13,22,40,14,9,0,34,29,6 AM
7 AM,0,28,29,32,35,61,8,0,29,56,33,31,20,9,0,55,47,39,43,48,9,0,16,29,58,40,48,6,0,24,56,7 AM
8 AM,0,29,107,82,76,67,24,0,56,89,95,102,76,63,0,69,74,62,76,65,37,0,60,75,65,53,53,42,0,67,93,8 AM
9 AM,178,155,133,120,102,175,31,228,187,174,185,109,164,8,196,140,109,130,133,123,84,218,138,118,149,109,106,44,201,138,87,9 AM
10 AM,110,308,299,219,264,134,127,135,341,382,333,305,172,98,135,288,280,264,270,177,79,115,313,260,321,227,183,154,127,326,233,10 AM
11 AM,153,269,364,405,347,327,180,157,339,437,731,373,81,130,171,286,370,331,365,203,130,142,249,386,370,320,260,202,170,301,367,11 AM
12 PM,242,475,383,485,353,252,232,206,592,361,184,383,607,213,153,462,358,348,477,290,164,194,403,371,410,302,267,280,270,401,339,12 PM
1 PM,240,281,543,542,496,464,333,321,435,509,290,531,226,182,304,446,536,518,432,317,321,289,377,529,436,452,317,272,243,430,475,1 PM
2 PM,312,461,555,513,496,354,211,309,570,533,494,593,281,305,329,620,452,475,497,415,215,334,454,486,540,540,284,194,327,552,530,2 PM
3 PM,317,425,374,461,285,308,231,271,402,373,431,356,367,375,313,239,462,348,287,261,281,339,368,401,399,389,254,275,385,488,336,3 PM
4 PM,333,396,469,544,449,295,181,386,486,460,481,525,534,608,162,390,565,509,409,246,253,288,452,439,547,527,373,212,304,359,598,4 PM
5 PM,302,407,409,426,379,247,206,387,544,356,372,365,401,597,390,462,248,355,314,229,257,254,396,476,427,192,210,289,314,396,378,5 PM
6 PM,339,339,483,370,360,257,359,264,521,452,377,418,304,223,371,451,453,395,388,280,238,292,386,578,402,322,295,296,322,392,461,6 PM
7 PM,362,409,368,433,310,246,256,410,407,343,510,375,283,77,157,393,389,412,323,200,252,318,531,342,437,364,241,257,320,504,363,7 PM
8 PM,303,428,361,320,345,194,209,329,454,408,285,436,213,119,508,389,392,325,284,287,178,285,344,413,322,330,215,217,345,404,327,8 PM
9 PM,331,312,329,289,230,159,220,325,382,251,338,344,190,188,327,372,296,289,131,119,166,305,312,221,347,253,194,206,360,298,295,9 PM
10 PM,236,316,332,368,212,163,166,278,345,412,293,260,231,187,240,296,315,278,285,222,211,212,300,357,299,260,216,161,271,302,342,10 PM
11 PM,281,353,319,291,178,109,135,224,419,305,254,190,139,127,213,274,240,167,145,129,109,176,334,281,265,187,139,128,220,333,302,11 PM
